Species;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTest;IndividualPlantNumberTest;PictureNumberTrain;IndividualPlantNumberTrain;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
Melia azedarach;42;2;41;1;1;1;1.0000000;0.0000000;0.0387147;0.0243902;0.0292683;0.0170732;
Mespilus germanica;0;0;0;0;0;0;null;null;null;null;null;null;
Morus alba;39;3;36;2;3;1;1.0000000;0.0353261;0.0192308;0.0070652;0.0072464;0.0120401;
Morus nigra;0;0;0;0;0;0;null;null;null;null;null;null;
Nerium oleander;23;4;20;3;3;1;1.0000000;0.0059524;0.0000000;0.0000000;0.0000000;0.0416667;
Olea europaea;19;2;11;1;8;1;1.0000000;0.0181818;0.0181818;0.0181818;0.0000000;0.0000000;
Ostrya carpinifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Paliurus spina-christi;1;1;1;1;0;0;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Phillyrea angustifolia;86;6;49;3;37;3;1.0000000;0.0115597;0.0122150;0.0058480;0.0087719;0.0024155;
Photinia serrulata;19;2;7;1;12;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Pistacia lentiscus;26;2;20;1;6;1;1.0000000;0.0000000;0.0350000;0.0083333;0.0350000;0.0000000;
Pistacia terebinthus;13;3;10;2;3;1;1.0000000;0.0185185;0.0000000;0.0416667;0.0092593;0.0092593;
Pittosporum tenuifolium;27;2;13;1;14;1;1.0000000;0.0769231;0.0000000;0.0000000;0.0000000;0.0000000;
Pittosporum tobira;29;2;11;1;18;1;1.0000000;0.0000000;0.0000000;0.0129870;0.0303030;0.0363636;
Platanus x hispanica;31;4;25;3;6;1;1.0000000;0.0183532;0.0000000;0.0122355;0.0385417;0.1666667;
Populus alba;91;2;44;1;47;1;1.0000000;0.0159091;0.0284091;0.0518939;0.0227273;0.0265152;
Populus nigra;97;3;62;2;35;1;1.0000000;0.0289382;0.0235135;0.0101351;0.0067568;0.0095045;
Populus tremula;0;0;0;0;0;0;null;null;null;null;null;null;
Populus trichocarpa;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus avium;20;3;15;2;5;1;1.0000000;0.1203704;0.0277778;0.0061728;0.0069444;0.0277778;
Prunus dulcis;18;2;8;1;10;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0625000;0.0625000;
Prunus laurocerasus;27;2;8;1;19;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0138889;
Prunus padus;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus serotina;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus serrulata;0;0;0;0;0;0;null;null;null;null;null;null;
Prunus spinosa;0;0;0;0;0;0;null;null;null;null;null;null;
Punica granatum;57;2;30;1;27;1;1.0000000;0.0288889;0.0000000;0.0333333;0.0370370;0.0000000;
Pyrus nivalis;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus cerris;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus coccifera;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus ilex;37;2;29;1;8;1;1.0000000;0.0000000;0.0043103;0.0632184;0.0000000;0.0327586;
Quercus palustris;14;2;2;1;12;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Quercus petraea;9;2;6;1;3;1;1.0000000;0.0277778;0.1666667;0.0000000;0.0416667;0.0000000;
Quercus pubescens;44;4;29;3;15;1;1.0000000;0.0000000;0.0039216;0.0370370;0.0000000;0.0024510;
Quercus robur;0;0;0;0;0;0;null;null;null;null;null;null;
Quercus rubra;0;0;0;0;0;0;null;null;null;null;null;null;
Rhamnus alaternus;7;2;1;1;6;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Rhamnus cathartica;0;0;0;0;0;0;null;null;null;null;null;null;
Rhus coriaria;123;3;79;2;44;1;1.0000000;0.0219298;0.0101626;0.0065560;0.0376054;0.0066770;
Rhus typhina;63;2;54;1;9;1;1.0000000;0.0268519;0.0037037;0.0277778;0.0185185;0.0142196;
Robinia pseudoacacia;15;3;8;2;7;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Ruscus aculeatus;105;2;21;1;84;1;1.0000000;0.0306122;0.0119048;0.0000000;0.0158730;0.0068027;
Salix alba;0;0;0;0;0;0;null;null;null;null;null;null;
Salix caprea;0;0;0;0;0;0;null;null;null;null;null;null;
Salix cinerea;0;0;0;0;0;0;null;null;null;null;null;null;
Salix fragilis;0;0;0;0;0;0;null;null;null;null;null;null;
Sambucus nigra;0;0;0;0;0;0;null;null;null;null;null;null;
Sophora japonica;19;3;12;2;7;1;1.0000000;0.0102041;0.0000000;0.0000000;0.0000000;0.0714286;
Sorbus aria;29;2;20;1;9;1;1.0000000;0.0000000;0.0100000;0.0500000;0.0479167;0.0000000;
Sorbus aucuparia;4;1;4;1;0;0;1.0000000;0.0000000;0.1250000;0.0000000;0.0000000;0.0000000;
Sorbus domestica;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus intermedia;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus latifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Sorbus torminalis;22;1;22;1;0;0;1.0000000;0.0000000;0.0050505;0.0113636;0.0000000;0.0000000;
Syringa vulgaris;9;2;6;1;3;1;1.0000000;0.0000000;0.0000000;0.0555556;0.0000000;0.0000000;
Tilia cordata;0;0;0;0;0;0;null;null;null;null;null;null;
Tilia platyphyllos;0;0;0;0;0;0;null;null;null;null;null;null;
Tilia x europaea;0;0;0;0;0;0;null;null;null;null;null;null;
Ulmus laevis;0;0;0;0;0;0;null;null;null;null;null;null;
Ulmus minor;178;4;113;2;65;2;1.0000000;0.0209756;0.0108405;0.0283677;0.0273533;0.0077616;
Viburnum lantana;0;0;0;0;0;0;null;null;null;null;null;null;
Viburnum opulus;23;2;7;1;16;1;1.0000000;0.0000000;0.0000000;0.0357143;0.0714286;0.0000000;
Viburnum tinus;13;2;1;1;12;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Vitex agnus-castus;15;2;10;1;5;1;1.0000000;0.0000000;0.0000000;0.1500000;0.0000000;0.0000000;
Xanthium strumarium;0;0;0;0;0;0;null;null;null;null;null;null;
