RunFileName;Scan _OfficialScore_InverseRank;pseudoscan _OfficialScore_InverseRank;photograph _OfficialScore_InverseRank;
FakeRunsAtImageCLEF2012Task/perfectRun.txt;1.0000000;1.0000000;1.0000000;
FakeRunsAtImageCLEF2012Task/randomRun_0.txt;0.0218849;0.0087579;0.0059614;
FakeRunsAtImageCLEF2012Task/randomRun_1.txt;0.0209140;0.0074178;0.0112171;
FakeRunsAtImageCLEF2012Task/randomRun_2.txt;0.0131572;0.0157373;0.0072386;
FakeRunsAtImageCLEF2012Task/randomRun_3.txt;0.0128069;0.0148128;0.0148611;
FakeRunsAtImageCLEF2012Task/randomRun_4.txt;0.0128626;0.0413854;0.0125747;
